,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,7.46,SL.UEM.TOTL.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1,2016,7.38,SL.UEM.TOTL.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2017,6.75,SL.UEM.TOTL.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
3,2018,6.65,SL.UEM.TOTL.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
4,2019,6.55,SL.UEM.TOTL.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
5,2015,3.99,SL.UEM.TOTL.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2016,3.9,SL.UEM.TOTL.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
7,2017,3.81,SL.UEM.TOTL.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,2018,3.7199999999999998,SL.UEM.TOTL.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,2019,3.98,SL.UEM.TOTL.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,2015,5.6,SL.UEM.TOTL.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
11,2016,5.54,SL.UEM.TOTL.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2017,5.4,SL.UEM.TOTL.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
13,2018,5.3,SL.UEM.TOTL.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
14,2019,5.21,SL.UEM.TOTL.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
15,2015,3.22,SL.UEM.TOTL.FE.ZS,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
16,2016,2.76,SL.UEM.TOTL.FE.ZS,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
17,2017,2.7,SL.UEM.TOTL.FE.ZS,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
18,2018,2.68,SL.UEM.TOTL.FE.ZS,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
19,2019,2.5300000000000002,SL.UEM.TOTL.FE.ZS,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
20,2015,3.98,SL.UEM.TOTL.FE.ZS,SGP,Singapore,East Asia & Pacific,High income,Not classified
21,2016,4.49,SL.UEM.TOTL.FE.ZS,SGP,Singapore,East Asia & Pacific,High income,Not classified
22,2017,4.44,SL.UEM.TOTL.FE.ZS,SGP,Singapore,East Asia & Pacific,High income,Not classified
23,2018,3.79,SL.UEM.TOTL.FE.ZS,SGP,Singapore,East Asia & Pacific,High income,Not classified
24,2019,3.16,SL.UEM.TOTL.FE.ZS,SGP,Singapore,East Asia & Pacific,High income,Not classified
25,2015,27.54,SL.UEM.TOTL.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
26,2016,28.99,SL.UEM.TOTL.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
27,2017,29.26,SL.UEM.TOTL.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
28,2018,29.05,SL.UEM.TOTL.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
29,2019,30.5,SL.UEM.TOTL.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
30,2015,5.02,SL.UEM.TOTL.FE.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
31,2016,5.02,SL.UEM.TOTL.FE.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
32,2017,5.5600000000000005,SL.UEM.TOTL.FE.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
33,2018,5.55,SL.UEM.TOTL.FE.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
34,2019,5.49,SL.UEM.TOTL.FE.ZS,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
